name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
arch0_B4_Osgd_L0.1_M0,arch0,4,100,sgd,0.1,0.0,kfold,5,625,,8,0.3294564758539199,0.3294564485549927,,99.84000244140626,99.83999938964844,,0.3332909162044525,0.3330777609348297,
arch0_B4_Osgd_L0.1_M0.01,arch0,4,100,sgd,0.1,0.01,kfold,5,625,,8,0.0241248558568102,0.0208417268416711,,695621.9334644863,673965.0383559527,,0.0426216989542756,0.0390119895126138,
arch0_B4_Osgd_L0.1_M0.05,arch0,4,100,sgd,0.1,0.05,kfold,5,625,,8,0.0307279234808502,0.0227806169934796,,689797.6875783516,626111.256524034,,0.045841227539561,0.0375849090403679,
arch0_B4_Osgd_L0.1_M0.1,arch0,4,100,sgd,0.1,0.1,kfold,5,625,,8,0.028594543203348,0.0198136759785617,,475200.6122224203,599070.1271352071,,0.0447850473225116,0.0357541000515949,
arch0_B4_Osgd_L0.1_M0.2,arch0,4,100,sgd,0.1,0.2,kfold,5,625,,8,0.0241984236985445,0.012536120571063,,583144.9828968865,438479.2380903516,,0.0438930638932756,0.0318295559712818,
arch0_B4_OAdam_L0.2_M0,arch0,4,100,Adam,0.2,0.0,kfold,5,625,,8,0.3294564740837745,0.329456478357315,,99.84000244140626,99.83999938964844,,0.3372882332441941,0.3360045442041361,
arch0_B4_OAdam_L0.2_M0.01,arch0,4,100,Adam,0.2,0.01,kfold,5,625,,8,0.0581546645898085,0.0544635815116075,,879715.4599996126,842580.509670551,,0.0656985674339991,0.0612788529350207,
arch0_B4_OAdam_L0.2_M0.05,arch0,4,100,Adam,0.2,0.05,kfold,5,625,,8,0.0570100482553243,0.0580527372658252,,881386.2028851191,836423.0473446528,,0.0635233931864301,0.0638275678580006,
arch0_B4_OAdam_L0.2_M0.1,arch0,4,100,Adam,0.2,0.1,kfold,5,625,,8,0.3294564842260801,0.3294564723968506,,99.84000244140626,99.83999938964844,,0.3371607718100914,0.3358989437726827,
arch0_B4_OAdam_L0.2_M0.2,arch0,4,100,Adam,0.2,0.2,kfold,5,625,,8,0.0572524750977754,0.0540469857305288,,887894.5817262268,820309.3059082794,,0.0644009272754192,0.0603371642529964,
arch0_B4_Osgd_L0.2_M0,arch0,4,100,sgd,0.2,0.0,kfold,5,625,,8,0.0516966175626624,0.0512905355542898,,833279.5424257105,759994.5424718336,,0.0559585733169859,0.0550803689116781,
arch0_B4_Osgd_L0.2_M0.01,arch0,4,100,sgd,0.2,0.01,kfold,5,625,,8,0.0356268198539813,0.0365130815779169,,713469.2952391052,680581.3729736583,,0.0484759883334239,0.0488867367183168,
arch0_B4_Osgd_L0.2_M0.05,arch0,4,100,sgd,0.2,0.05,kfold,5,625,,8,0.0339833145495504,0.0246059368209292,,747829.2131168047,713556.5522518158,,0.0481703543104231,0.0384187415863076,
arch0_B4_Osgd_L0.2_M0.1,arch0,4,100,sgd,0.2,0.1,kfold,5,625,,8,0.3295490377658122,0.3294564664363861,,99.84525608372044,99.83999938964844,,0.3323646785439672,0.3319721189705101,
arch0_B4_Osgd_L0.2_M0.2,arch0,4,100,sgd,0.2,0.2,kfold,5,625,,8,0.3294564843177795,0.3294564664363861,,99.84000244140626,99.83999938964844,,0.3325059919445603,0.3321085720150559,
arch0_B8_OAdam_L0.01_M0,arch0,8,100,Adam,0.01,0.0,kfold,5,625,,8,0.0292856809450313,0.0216380029101856,,686629.9787796974,692476.022375679,,0.0412701888475567,0.0331805983558297,
arch0_B8_OAdam_L0.01_M0.01,arch0,8,100,Adam,0.01,0.01,kfold,5,625,,8,0.0498276556842029,0.0489144030492752,,843035.1300354957,859619.2885471344,,0.0507249346934258,0.0493869323749095,
arch0_B8_OAdam_L0.01_M0.05,arch0,8,100,Adam,0.01,0.05,kfold,5,625,,8,0.3294564655193915,0.329456478357315,,99.84000244140626,99.83999938964844,,0.3302567041837252,0.3298138847717872,
arch0_B8_OAdam_L0.01_M0.1,arch0,8,100,Adam,0.01,0.1,kfold,5,625,,8,0.0302814848472674,0.0228750710686047,,673624.488012441,679746.4820183055,,0.0414199040333429,0.0335138795524835,
arch0_B8_OAdam_L0.01_M0.2,arch0,8,100,Adam,0.01,0.2,kfold,5,625,,8,0.3294564716956195,0.3294564723968506,,99.84000244140626,99.83999938964844,,0.3301701661418466,0.3298064358094159,
arch0_B8_Osgd_L0.01_M0,arch0,8,100,sgd,0.01,0.0,kfold,5,625,,8,0.0282512850649654,0.0251421879045665,,639275.4415415573,717479.11708387,,0.1001963577866554,0.0969288755431771,
arch0_B8_Osgd_L0.01_M0.01,arch0,8,100,sgd,0.01,0.01,kfold,5,625,,8,0.0285994028151035,0.0194660500586032,,527509.5298548966,515373.7156133881,,0.0873086886107921,0.0780476192533969,
arch0_B8_Osgd_L0.01_M0.05,arch0,8,100,sgd,0.01,0.05,kfold,5,625,,8,0.0264516514167189,0.0186673066727817,,653164.1746317596,740800.4831587868,,0.074648303374648,0.06675308342278,
arch0_B8_Osgd_L0.01_M0.1,arch0,8,100,sgd,0.01,0.1,kfold,5,625,,8,0.0218088734038174,0.0140283992197364,,560085.0863655548,550200.5785433502,,0.0675672959685325,0.0596772274971008,
arch0_B8_Osgd_L0.01_M0.2,arch0,8,100,sgd,0.01,0.2,kfold,5,625,,8,0.025110394168645144,0.016998733900487423,,574253.1779987564,541578.6982470436,,0.07007553761452437,0.0618382320702076,
