Happiness,Health,Freedom,GovermentTrust,Generosity,Economy
7.119,0.80565,0.54355,0.21348,0.32865,1.45038
7.104,0.779,0.48163,0.14868,0.41077,1.50796
7.087,0.76146,0.55225,0.10547,0.22553,1.06879
7.039,0.77758,0.46823,0.12275,0.22202,1.35943
6.994,0.81487,0.53466,0.28551,0.30452,1.44787
6.952,0.61415,0.40425,0.14166,0.15776,1.08754
6.929,0.81959,0.51354,0.26248,0.2424,1.42539
6.907,0.81455,0.54008,0.29754,0.44963,1.48341
6.871,0.84542,0.5487,0.35329,0.27571,1.69752
6.778,0.71143,0.37709,0.18355,0.11735,1.11508
6.739,0.94719,0.4877,0.46987,0.32706,1.64555
6.725,0.80991,0.50036,0.27399,0.50156,1.40283
6.705,0.81883,0.37789,0.11451,0.31595,1.2167
6.701,0.70835,0.48927,0.08423,0.2418,1.18306
6.65,0.69711,0.42284,0.07296,0.10989,1.15137
6.596,0.76376,0.41418,0.03986,0.09929,1.30915
6.573,0.72993,0.56215,0.35561,0.26591,1.57352
6.545,0.72183,0.54388,0.21394,0.18056,1.18157
6.488,0.80315,0.54994,0.17554,0.56237,1.30782
6.481,0.59659,0.44735,0.05399,0.15626,1.03032
6.478,0.83795,0.46562,0.17808,0.1216,1.39488
6.474,0.64915,0.49553,0.02833,0.58696,1.0893
6.379,0.59267,0.37904,0.30008,0.15457,1.48953
6.379,0.79565,0.32377,0.0663,0.25495,1.39729
6.375,0.71723,0.56679,0.48049,0.32388,1.82427
6.361,0.87896,0.37545,0.06137,0.17665,1.34253
6.355,0.61804,0.21006,0.16157,0.07044,1.05266
6.324,0.54039,0.50379,0.08701,0.28808,0.83454
6.269,0.50933,0.52234,0.12692,0.16665,1.09686
6.239,0.63569,0.43166,0.23669,0.15965,1.61714
6.218,0.65696,0.47375,0.25772,0.17147,1.44024
6.168,0.52608,0.48453,0.01241,0.31935,1.32572
6.084,0.61904,0.19847,0.08304,0.0425,1.13367
6.078,0.70367,0.23391,0.02947,0.13837,1.27973
6.068,0.596,0.37269,0.10613,0.08877,0.8737
6.005,0.62366,0.39031,0.09081,0.41474,1.25142
5.992,0.65213,0.46582,0.16292,0.29773,0.69384
5.987,0.50163,0.60848,0.28333,0.34326,0.73591
5.977,0.85102,0.18827,0.02556,0.16684,1.35495
5.976,0.68613,0.4027,0.18037,0.10074,0.97306
5.956,0.45569,0.51231,0.10771,0.23684,0.87616
5.921,0.91491,0.46761,0.18985,0.10224,1.38007
5.919,0.57386,0.4052,0.11132,0.15011,1.22943
5.897,0.52309,0.25202,0.01903,0.19997,0.69177
5.856,0.58991,0.32682,0.03586,0.02736,1.23228
5.835,0.69058,0.4519,0.055,0.14443,1.24585
5.835,0.88645,0.25168,0.07716,0.18824,1.35948
5.822,0.4697,0.50961,0.07746,0.21698,0.79422
5.813,0.64674,0.18929,0.0182,0.02025,1.2692
5.802,0.63104,0.29091,0.17457,0.13942,1.13062
5.771,0.84142,0.43596,0.16578,0.26322,1.31141
5.768,0.79151,0.53164,0.03635,0.25738,1.29947
5.743,0.62994,0.37502,0.05292,0.14527,0.99602
5.658,0.44006,0.37408,0.28467,0.22567,1.08017
5.648,0.66189,0.46145,0.05203,0.36951,1.14372
5.615,0.52304,0.40672,0.10339,0.17087,1.06688
5.56,0.63952,0.27996,0.0889,0.17445,1.21788
5.546,0.8488,0.29507,0.05228,0.27906,1.31857
5.538,0.58295,0.46235,0.07396,0.25296,0.89373
5.528,0.67602,0.36712,0.00679,0.12889,1.1697
5.517,0.68098,0.41511,0.18519,0.08423,1.27964
5.51,0.59469,0.43597,0.04294,0.22245,0.89333
5.488,0.70524,0.23907,0.04002,0.18434,1.18649
5.458,0.95277,0.48079,0.31647,0.40097,1.5107
5.44,0.11466,0.56778,0.3118,0.27225,0
5.401,0.54,0.14396,0.06547,0.27992,0.90145
5.389,0.64718,0.23889,0.12348,0.04707,1.16492
5.314,0.49374,0.39237,0.00322,0.56521,0.95104
5.303,0.60712,0.36023,0.13297,0.14262,0.99673
5.291,0.54504,0.35327,0.17914,0.0564,1.12373
5.279,0.47036,0.54854,0.11757,0.21674,0.81217
5.245,0.73561,0.44012,0.02745,0.04959,1.0278
5.196,0.49759,0.46074,0.1616,0.48546,0.8527
5.185,0.55449,0.40212,0.04762,0.38432,0.56044
5.177,0.6458,0.15718,0.04339,0.20737,1.03437
5.163,0.70766,0.09511,0,0.29889,0.93383
5.161,0.63533,0.15111,0.12721,0.17191,1.07838
5.155,0.57669,0.52259,0.12372,0.21286,1.02787
5.151,0.59471,0.25646,0.08404,0.04053,0.84058
5.145,0.67608,0.1977,0.04472,0.099,1.24142
5.132,0.40306,0.14622,0.1388,0.31185,0.68816
5.129,0.76171,0.26228,0.03061,0.23693,1.12268
5.123,0.79363,0.44727,0.01521,0.11691,1.27607
5.121,0.64738,0.27668,0.07047,0.23507,1.0193
5.061,0.66157,0.55954,0.11556,0.25075,0.74037
5.057,0.33108,0.3913,0.36794,0.51479,0.25558
5.045,0.59577,0.23553,0.0817,0.03936,0.97724
5.033,0.80029,0.05822,0.04127,0,1.24886
4.996,0.53119,0.43408,0.13509,0.25998,0.48835
4.907,0.55469,0.35972,0.03285,0.34539,0.98853
4.876,0.38291,0.52168,0.22423,0.43079,0.68042
4.875,0.05108,0.27854,0.0305,0.23219,0.75216
4.871,0.58383,0.26755,0.06906,0.2044,0.69429
4.813,0.64232,0.22544,0.0557,0.38538,1.11758
4.795,0.23573,0.42662,0.11479,0.17866,0.61202
4.793,0.50073,0.37012,0.07008,0.3816,0.44626
4.754,0.56844,0.17744,0.10613,0.11154,0.67024
4.655,0.73007,0.31866,0.05301,0.1684,0.9553
4.643,0.52989,0.39778,0.12583,0.19132,0.54177
4.635,0,0.30685,0.08196,0.23897,0.36485
4.575,0.51076,0.24856,0.13636,0.19589,1.07474
4.574,0.34745,0.48614,0.10398,0.07795,0.93287
4.513,0.12698,0.42736,0.06126,0.2268,0.52497
4.508,0.34578,0.36703,0.1717,0.29522,0.29283
4.459,0.18611,0.42483,0.08415,0.13656,1.02416
4.415,0.62007,0.50817,0.07964,0.46978,0.97318
4.404,0.45091,0.40285,0.08722,0.25028,0.74036
4.395,0.3988,0.42692,0.20243,0.81971,0.34112
4.362,0.52116,0.18847,0.10393,0.12706,0.95395
4.36,0.64083,0.14037,0.03616,0.07793,0.86086
4.356,0.30147,0.40576,0.06686,0.41328,0.52267
4.324,0.58628,0.12859,0.01829,0.20363,0.87287
4.276,0.29681,0.40973,0.0326,0.21203,0.63107
4.272,0.188,0.15602,0.06075,0.25458,0.05661
4.252,0.64035,0.32461,0.3188,0.06786,0.83792
4.236,0.28212,0.37938,0.09753,0.12077,0.77109
4.219,0.40457,0.31056,0.11681,0.19103,0.44314
4.217,0.67806,0.21219,0.00615,0.12793,1.11306
4.201,0.28639,0.1268,0.17955,0.22686,0.61391
4.193,0.1595,0.25429,0.08582,0.18503,0.35041
4.156,0.29364,0.4143,0.07564,0.30968,0.08709
4.139,0.29759,0,0.10039,0.18077,0.63069
4.121,0.3494,0.28098,0.09314,0.06244,1.15851
4.073,0.16347,0.27544,0.13647,0.21064,0.31292
4.028,0.27494,0.12072,0.14476,0.47958,0.34097
3.974,0.34752,0.44089,0.10769,0.12425,1.09426
3.956,0.29981,0.15412,0.18437,0.1827,0.27509
3.916,0.04476,0.40663,0.1553,0.20338,0.55507
3.907,0.42494,0.58852,0.08092,0.40339,0.55604
3.866,0.04991,0.00589,0.08434,0.12071,0.84731
3.856,0.26162,0.38041,0.17176,0.2097,0.1327
3.832,0.15781,0.19662,0.13015,0.25899,0.39394
3.763,0.03824,0.12807,0.04952,0.18667,0.42214
3.739,0.21297,0.3337,0.12533,0.24353,0.31995
3.739,0.19625,0.43653,0.06442,0.27102,0.34719
3.724,0.31048,0.2287,0.05892,0.09821,0.57939
3.695,0.37109,0.13684,0.07506,0.2204,0.27954
3.666,0.357,0.3176,0.05099,0.31472,0.47155
3.622,0.23165,0.25748,0.04852,0.24063,0.10706
3.607,0.18829,0.30953,0.1192,0.29914,0.22415
3.515,0.31865,0.5432,0.50521,0.23552,0.32846
3.484,0.21028,0.39747,0.06681,0.2018,0.39499
3.36,0.17344,0.1643,0.07112,0.31268,0.38227
3.303,0.24811,0.34678,0.11587,0.17517,0.28123
3.069,0.62994,0.06912,0.17233,0.48397,0.74719
2.905,0.15747,0.0432,0.09419,0.2029,0.06831
7.53700017929077,0.796666502952576,0.635422587394714,0.315963834524155,0.362012237310,1.6164631843566941
7.52199983596802,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729,1.48238301277161477
7.50400018692017,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737,1.480633020401457
7.49399995803833,0.858131289482117,0.620070576667786,0.367007285356522,0.290549278259,1.56497955322266277
7.4689998626709,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873,1.44357192516327
7.3769998550415,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,1.50394463539124
7.31599998474121,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,1.47920441627502
7.31400012969971,0.816759705543518,0.614062130451202,0.382816702127457,0.500005125999451,1.40570604801178
7.28399991989136,0.830875158309937,0.612924098968506,0.384398728609085,0.385399252176285,1.49438726902008
7.28399991989136,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,1.484414935112
7.21299982070923,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,1.37538242340088
7.0789999961853,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,1.10970628261566
7.00600004196167,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,1.48709726333618
6.99300003051758,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093,1.54625928401947
6.97700023651123,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881,1.53570663928986
6.95100021362305,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853,1.48792338371277
6.89099979400635,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,1.46378076076508
6.86299991607666,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,1.74194359779358
6.71400022506714,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,1.44163393974304
6.65199995040894,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,1.25278460979462
6.64799976348877,0.726798236370087,0.60834527015686,0.324489563703537,0.3609419465065,1.62634336948395
6.63500022888184,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,1.10735321044922
6.60900020599365,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,1.35268235206604
6.59899997711182,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,1.18529546260834
6.57800006866455,0.709978997707367,0.412730008363724,0.132774114608765,0.120990432798862,1.15318381786346
6.57200002670288,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459,1.69227766990662
6.52699995040894,0.821944236755371,0.588767051696777,0.153066068887711,0.574730575084686,1.34327983856201
6.4539999961853,0.719216823577881,0.57939225435257,0.178061872720718,0.175096929073334,1.21755969524384
6.4539999961853,0.540239989757538,0.531310617923737,0.0772232785820961,0.283488392829895,0.872001945972443
6.4520001411438,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,1.23374843597412
6.44199991226196,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425,1.43092346191406
