country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Panama,2017,,1.37319254875183,1.23374843597412,,0.21055693924427,0.070983923971653,2.30719995498657,6.4520001411438
France,2017,,1.38777685165405,1.43092346191406,,0.129762306809425,0.172502428293228,2.00595474243164,6.44199991226196
Thailand,2017,,1.42579245567322,1.12786877155304,,0.572123110294342,0.031612735241652,2.03950834274292,6.42399978637695
Taiwan Province of China,2017,,1.38456535339355,1.43362653255463,,0.258360475301743,0.063829235732555,2.1266074180603,6.42199993133545
Spain,2017,,1.53209090232849,1.38439786434174,,0.190133571624756,0.070914097130299,1.92775774002075,6.40299987792969
Qatar,2017,,1.27429687976837,1.87076568603516,,0.330473870038986,0.439299255609512,1.1454644203186,6.375
Colombia,2017,,1.4021829366684,1.07062232494354,,0.149014472961426,0.046668741852045,2.61606812477112,6.35699987411499
Saudi Arabia,2017,,1.28667759895325,1.53062355518341,,0.147616013884544,0.27343225479126,2.0654296875,6.3439998626709
Trinidad and Tobago,2017,,1.3802285194397,1.36135590076447,,0.325296461582184,0.008964816108346,2.05324745178223,6.16800022125244
Kuwait,2017,,1.25969874858856,1.63295245170593,,0.228289797902107,0.215159550309181,1.64042520523071,6.10500001907349
Slovakia,2017,,1.50505924224854,1.32539355754852,,0.136544480919838,0.024210851639509,2.09777665138245,6.09800004959106
Bahrain,2017,,1.32311046123505,1.48841226100922,,0.172668486833572,0.257042169570923,1.65614938735962,6.08699989318848
Malaysia,2017,,1.28464603424072,1.29121541976929,,0.416608929634094,0.065600708127022,2.00444889068604,6.08400011062622
Nicaragua,2017,,1.28721570968628,0.737299203872681,,0.301674216985703,0.130687981843948,2.51393055915833,6.07100009918213
Ecuador,2017,,1.28616881370544,1.00082039833069,,0.150112465023994,0.140134647488594,2.29035258293152,6.00799989700317
El Salvador,2017,,1.18212509155273,0.909784495830536,,0.078257985413075,0.089980959892273,2.7145938873291,6.00299978256226
Poland,2017,,1.44571197032928,1.29178786277771,,0.158465966582298,0.059307806193829,1.79772281646729,5.97300004959106
Uzbekistan,2017,,1.54896914958954,0.786441087722778,,0.415983647108078,0.246528223156929,1.81691360473633,5.97100019454956
Italy,2017,,1.44492328166962,1.39506661891937,,0.17278964817524,0.028028091415763,1.81331205368042,5.96400022506714
Russia,2017,,1.46928238868713,1.28177809715271,,0.05226382240653,0.032962881028652,2.20560741424561,5.96299982070923
Belize,2017,,1.08141779899597,0.907975316047668,,0.240015640854836,0.096581071615219,2.63195562362671,5.95599985122681
Japan,2017,,1.43633782863617,1.41691517829895,,0.12057276815176,0.163760736584663,1.36322355270386,5.92000007629395
Lithuania,2017,,1.47351610660553,1.31458234786987,,0.010164656676352,0.011865642853081,2.22844052314758,5.90199995040894
Algeria,2017,,1.1462174654007,1.09186446666718,,0.069436646997929,0.146096110343933,2.56760382652283,5.87200021743774
Latvia,2017,,1.40471494197845,1.26074862480164,,0.153074786067009,0.073842726647854,1.99365520477295,5.84999990463257
South Korea,2017,,1.12827444076538,1.40167844295502,,0.206674367189407,0.063282668590546,1.88037800788879,5.83799982070923
